"State","Year","PacksPerCapita"
"Alabama",1997,104.9
"Arkansas",1997,108.7
"Colorado",1997,81.3
"Connecticut",1997,75.9
"Delaware",1997,124.1
"Georgia",1997,100.6
"Idaho",1997,75
"Illinois",1997,79.6
"Indiana",1997,135.3
"Iowa",1997,93.9
"Kansas",1997,89.2
"Kentucky",1997,186.8
"Louisiana",1997,105.3
"Maine",1997,101.1
"Minnesota",1997,84.1
"Mississippi",1997,106.3
"Missouri",1997,120.6
"Montana",1997,88.9
"Nebraska",1997,85.5
"Nevada",1997,95.6
"New Hampshire",1997,174.4
"New Mexico",1997,61.8
"North Carolina",1997,125.6
"North Dakota",1997,77.5
"Ohio",1997,108.6
"Oklahoma",1997,111.8
"Pennsylvania",1997,92.9
"Rhode Island",1997,90
"South Carolina",1997,124.5
"South Dakota",1997,88.8
"Tennessee",1997,118.9
"Texas",1997,72.6
"Utah",1997,57
"Vermont",1997,97.7
"Virginia",1997,108
"West Virginia",1997,114.5
"Wisconsin",1997,91.9
"Wyoming",1997,108.8
"California",1997,53.8
"Alabama",1998,106.2
"Arkansas",1998,109.5
"Colorado",1998,81.2
"Connecticut",1998,75.5
"Delaware",1998,132.8
"Georgia",1998,100.5
"Idaho",1998,78.9
"Illinois",1998,80.3
"Indiana",1998,135.9
"Iowa",1998,94
"Kansas",1998,87.6
"Kentucky",1998,171.3
"Louisiana",1998,103.2
"Maine",1998,94.5
"Minnesota",1998,83.2
"Mississippi",1998,107
"Missouri",1998,120.1
"Montana",1998,89.1
"Nebraska",1998,83.1
"Nevada",1998,102.4
"New Hampshire",1998,173.8
"New Mexico",1998,62.6
"North Carolina",1998,126
"North Dakota",1998,79.1
"Ohio",1998,106.4
"Oklahoma",1998,112.2
"Pennsylvania",1998,92.1
"Rhode Island",1998,88.7
"South Carolina",1998,126.9
"South Dakota",1998,88.3
"Tennessee",1998,119.7
"Texas",1998,73.2
"Utah",1998,42.3
"Vermont",1998,97
"Virginia",1998,105.6
"West Virginia",1998,114.6
"Wisconsin",1998,88.7
"Wyoming",1998,102.9
"California",1998,52.3
"Alabama",1999,100.7
"Arkansas",1999,104.8
"Colorado",1999,79.6
"Connecticut",1999,73.4
"Delaware",1999,139.5
"Georgia",1999,97.1
"Idaho",1999,75.1
"Illinois",1999,72.2
"Indiana",1999,133.3
"Iowa",1999,91.7
"Kansas",1999,83.3
"Kentucky",1999,165.3
"Louisiana",1999,101
"Maine",1999,85.5
"Minnesota",1999,80.7
"Mississippi",1999,103.9
"Missouri",1999,118
"Montana",1999,82.6
"Nebraska",1999,86.6
"Nevada",1999,103.9
"New Hampshire",1999,171.7
"New Mexico",1999,59.7
"North Carolina",1999,113.1
"North Dakota",1999,74.7
"Ohio",1999,104
"Oklahoma",1999,111.4
"Pennsylvania",1999,91.1
"Rhode Island",1999,86.9
"South Carolina",1999,109.4
"South Dakota",1999,83.5
"Tennessee",1999,115.6
"Texas",1999,67.6
"Utah",1999,43.9
"Vermont",1999,94.1
"Virginia",1999,102.1
"West Virginia",1999,112.4
"Wisconsin",1999,84.4
"Wyoming",1999,104.8
"California",1999,47.2
"Alabama",2000,96.2
"Arkansas",2000,99.4
"Colorado",2000,73
"Connecticut",2000,71.4
"Delaware",2000,140.7
"Georgia",2000,88.4
"Idaho",2000,66.9
"Illinois",2000,70
"Indiana",2000,125.5
"Iowa",2000,88.9
"Kansas",2000,79.8
"Kentucky",2000,156.2
"Louisiana",2000,104.3
"Maine",2000,82.9
"Minnesota",2000,76
"Mississippi",2000,97.2
"Missouri",2000,113.8
"Montana",2000,75.5
"Nebraska",2000,77.6
"Nevada",2000,93.2
"New Hampshire",2000,147.3
"New Mexico",2000,53.8
"North Carolina",2000,109
"North Dakota",2000,72.5
"Ohio",2000,99.9
"Oklahoma",2000,108.9
"Pennsylvania",2000,87.9
"Rhode Island",2000,83.1
"South Carolina",2000,103.9
"South Dakota",2000,75.1
"Tennessee",2000,108.7
"Texas",2000,69.3
"Utah",2000,40.7
"Vermont",2000,88.9
"Virginia",2000,96.7
"West Virginia",2000,107.9
"Wisconsin",2000,80.1
"Wyoming",2000,90.5
"California",2000,41.6
